"File","Status","CanonicalCount","CanonicalHref","LineNo","Expected"
"404.html","CORRECT","1","https://gymtranning.com/404.html","6","https://gymtranning.com/404.html"
"about.html","CORRECT","1","https://gymtranning.com/about.html","4","https://gymtranning.com/about.html"
"accessibility.html","CORRECT","1","https://gymtranning.com/accessibility.html","2","https://gymtranning.com/accessibility.html"
"affiliate-disclosure.html","CORRECT","1","https://gymtranning.com/affiliate-disclosure.html","2","https://gymtranning.com/affiliate-disclosure.html"
"blog.html","CORRECT","1","https://gymtranning.com/blog.html","3","https://gymtranning.com/blog.html"
"blog\advanced-back-isolation.html","CORRECT","1","https://gymtranning.com/blog/advanced-back-isolation.html","3","https://gymtranning.com/blog/advanced-back-isolation.html"
"blog\building-mid-back-thickness-with-rows.html","CORRECT","1","https://gymtranning.com/blog/building-mid-back-thickness-with-rows.html","3","https://gymtranning.com/blog/building-mid-back-thickness-with-rows.html"
"blog\complete-chest-development.html","CORRECT","1","https://gymtranning.com/blog/complete-chest-development.html","105","https://gymtranning.com/blog/complete-chest-development.html"
"blog\correcting-posture-exercises.html","CORRECT","1","https://gymtranning.com/blog/correcting-posture-exercises.html","24","https://gymtranning.com/blog/correcting-posture-exercises.html"
"blog\deadlift-masterclass-strength-safety.html","CORRECT","1","https://gymtranning.com/blog/deadlift-masterclass-strength-safety.html","3","https://gymtranning.com/blog/deadlift-masterclass-strength-safety.html"
"blog\gut-health-fitness.html","CORRECT","1","https://gymtranning.com/blog/gut-health-fitness.html","105","https://gymtranning.com/blog/gut-health-fitness.html"
"blog\hiit-vs-liss.html","CORRECT","1","https://gymtranning.com/blog/hiit-vs-liss.html","105","https://gymtranning.com/blog/hiit-vs-liss.html"
"blog\home-gym-budget.html","CORRECT","1","https://gymtranning.com/blog/home-gym-budget.html","105","https://gymtranning.com/blog/home-gym-budget.html"
"blog\home-workout-essentials.html","CORRECT","1","https://gymtranning.com/blog/home-workout-essentials.html","105","https://gymtranning.com/blog/home-workout-essentials.html"
"blog\hydration-strategies.html","CORRECT","1","https://gymtranning.com/blog/hydration-strategies.html","3","https://gymtranning.com/blog/hydration-strategies.html"
"blog\intermittent-fasting-guide.html","CORRECT","1","https://gymtranning.com/blog/intermittent-fasting-guide.html","105","https://gymtranning.com/blog/intermittent-fasting-guide.html"
"blog\kettlebell-training-strength.html","CORRECT","1","https://gymtranning.com/blog/kettlebell-training-strength.html","105","https://gymtranning.com/blog/kettlebell-training-strength.html"
"blog\leg-day-masterclass.html","CORRECT","1","https://gymtranning.com/blog/leg-day-masterclass.html","104","https://gymtranning.com/blog/leg-day-masterclass.html"
"blog\macro-counting-101.html","CORRECT","1","https://gymtranning.com/blog/macro-counting-101.html","105","https://gymtranning.com/blog/macro-counting-101.html"
"blog\mastering-the-bench-press.html","CORRECT","1","https://gymtranning.com/blog/mastering-the-bench-press.html","3","https://gymtranning.com/blog/mastering-the-bench-press.html"
"blog\mastering-the-lat-pulldown.html","CORRECT","1","https://gymtranning.com/blog/mastering-the-lat-pulldown.html","104","https://gymtranning.com/blog/mastering-the-lat-pulldown.html"
"blog\mindset-motivation-psychology.html","CORRECT","1","https://gymtranning.com/blog/mindset-motivation-psychology.html","104","https://gymtranning.com/blog/mindset-motivation-psychology.html"
"blog\mobility-drills-squats.html","CORRECT","1","https://gymtranning.com/blog/mobility-drills-squats.html","104","https://gymtranning.com/blog/mobility-drills-squats.html"
"blog\overcoming-training-plateau.html","CORRECT","1","https://gymtranning.com/blog/overcoming-training-plateau.html","104","https://gymtranning.com/blog/overcoming-training-plateau.html"
"blog\phase19-3-final-report.html","MISSING","0","","","https://gymtranning.com/blog/phase19-3-final-report.html"
"blog\pre-post-workout-nutrition.html","CORRECT","1","https://gymtranning.com/blog/pre-post-workout-nutrition.html","104","https://gymtranning.com/blog/pre-post-workout-nutrition.html"
"blog\progressive-overload-guide.html","CORRECT","1","https://gymtranning.com/blog/progressive-overload-guide.html","152","https://gymtranning.com/blog/progressive-overload-guide.html"
"blog\recovery-rest-days.html","CORRECT","1","https://gymtranning.com/blog/recovery-rest-days.html","3","https://gymtranning.com/blog/recovery-rest-days.html"
"blog\science-based-bicep-growth.html","CORRECT","1","https://gymtranning.com/blog/science-based-bicep-growth.html","3","https://gymtranning.com/blog/science-based-bicep-growth.html"
"blog\science-of-muscle-recovery.html","CORRECT","1","https://gymtranning.com/blog/science-of-muscle-recovery.html","152","https://gymtranning.com/blog/science-of-muscle-recovery.html"
"blog\sleep-muscle-connection.html","CORRECT","1","https://gymtranning.com/blog/sleep-muscle-connection.html","152","https://gymtranning.com/blog/sleep-muscle-connection.html"
"blog\targeting-three-deltoid-heads.html","CORRECT","1","https://gymtranning.com/blog/targeting-three-deltoid-heads.html","152","https://gymtranning.com/blog/targeting-three-deltoid-heads.html"
"blog\top-10-supplements.html","CORRECT","1","https://gymtranning.com/blog/top-10-supplements.html","152","https://gymtranning.com/blog/top-10-supplements.html"
"blog\ultimate-back-training-beginners.html","CORRECT","1","https://gymtranning.com/blog/ultimate-back-training-beginners.html","152","https://gymtranning.com/blog/ultimate-back-training-beginners.html"
"blog\ultimate-guide-cardio-part-11.html","CORRECT","1","https://gymtranning.com/blog/ultimate-guide-cardio-part-11.html","3","https://gymtranning.com/blog/ultimate-guide-cardio-part-11.html"
"blog\ultimate-guide-cardio-part-42.html","WRONG","1","https://gymtranning.com/blog/hiit-vs-liss.html","154","https://gymtranning.com/blog/ultimate-guide-cardio-part-42.html"
"blog\ultimate-guide-cardio-part-74.html","WRONG","1","https://gymtranning.com/blog/hiit-vs-liss.html","3","https://gymtranning.com/blog/ultimate-guide-cardio-part-74.html"
"blog\ultimate-guide-cardio-part-75.html","CORRECT","1","https://gymtranning.com/blog/ultimate-guide-cardio-part-75.html","3","https://gymtranning.com/blog/ultimate-guide-cardio-part-75.html"
"blog\ultimate-guide-cardio-part-76.html","CORRECT","1","https://gymtranning.com/blog/ultimate-guide-cardio-part-76.html","3","https://gymtranning.com/blog/ultimate-guide-cardio-part-76.html"
"blog\ultimate-guide-cardio-part-98.html","CORRECT","1","https://gymtranning.com/blog/ultimate-guide-cardio-part-98.html","154","https://gymtranning.com/blog/ultimate-guide-cardio-part-98.html"
"blog\ultimate-guide-fat-loss-part-13.html","CORRECT","1","https://gymtranning.com/blog/ultimate-guide-fat-loss-part-13.html","154","https://gymtranning.com/blog/ultimate-guide-fat-loss-part-13.html"
"blog\ultimate-guide-fat-loss-part-20.html","CORRECT","1","https://gymtranning.com/blog/ultimate-guide-fat-loss-part-20.html","154","https://gymtranning.com/blog/ultimate-guide-fat-loss-part-20.html"
"blog\ultimate-guide-fat-loss-part-28.html","CORRECT","1","https://gymtranning.com/blog/ultimate-guide-fat-loss-part-28.html","154","https://gymtranning.com/blog/ultimate-guide-fat-loss-part-28.html"
"blog\ultimate-guide-fat-loss-part-37.html","CORRECT","1","https://gymtranning.com/blog/ultimate-guide-fat-loss-part-37.html","154","https://gymtranning.com/blog/ultimate-guide-fat-loss-part-37.html"
"blog\ultimate-guide-fat-loss-part-40.html","CORRECT","1","https://gymtranning.com/blog/ultimate-guide-fat-loss-part-40.html","154","https://gymtranning.com/blog/ultimate-guide-fat-loss-part-40.html"
"blog\ultimate-guide-fat-loss-part-47.html","CORRECT","1","https://gymtranning.com/blog/ultimate-guide-fat-loss-part-47.html","154","https://gymtranning.com/blog/ultimate-guide-fat-loss-part-47.html"
"blog\ultimate-guide-fat-loss-part-49.html","CORRECT","1","https://gymtranning.com/blog/ultimate-guide-fat-loss-part-49.html","154","https://gymtranning.com/blog/ultimate-guide-fat-loss-part-49.html"
"blog\ultimate-guide-fat-loss-part-56.html","CORRECT","1","https://gymtranning.com/blog/ultimate-guide-fat-loss-part-56.html","154","https://gymtranning.com/blog/ultimate-guide-fat-loss-part-56.html"
"blog\ultimate-guide-fat-loss-part-57.html","CORRECT","1","https://gymtranning.com/blog/ultimate-guide-fat-loss-part-57.html","154","https://gymtranning.com/blog/ultimate-guide-fat-loss-part-57.html"
"blog\ultimate-guide-fat-loss-part-67.html","CORRECT","1","https://gymtranning.com/blog/ultimate-guide-fat-loss-part-67.html","154","https://gymtranning.com/blog/ultimate-guide-fat-loss-part-67.html"
"blog\ultimate-guide-fat-loss-part-69.html","WRONG","1","https://gymtranning.com/blog/ultimate-guide-fat-loss-part-13.html","154","https://gymtranning.com/blog/ultimate-guide-fat-loss-part-69.html"
"blog\ultimate-guide-fat-loss-part-71.html","WRONG","1","https://gymtranning.com/blog/ultimate-guide-fat-loss-part-20.html","154","https://gymtranning.com/blog/ultimate-guide-fat-loss-part-71.html"
"blog\ultimate-guide-fat-loss-part-97.html","WRONG","1","https://gymtranning.com/blog/ultimate-guide-fat-loss-part-28.html","154","https://gymtranning.com/blog/ultimate-guide-fat-loss-part-97.html"
"blog\ultimate-guide-flexibility-part-10.html","CORRECT","1","https://gymtranning.com/blog/ultimate-guide-flexibility-part-10.html","3","https://gymtranning.com/blog/ultimate-guide-flexibility-part-10.html"
"blog\ultimate-guide-flexibility-part-24.html","CORRECT","1","https://gymtranning.com/blog/ultimate-guide-flexibility-part-24.html","3","https://gymtranning.com/blog/ultimate-guide-flexibility-part-24.html"
"blog\ultimate-guide-flexibility-part-27.html","CORRECT","1","https://gymtranning.com/blog/ultimate-guide-flexibility-part-27.html","3","https://gymtranning.com/blog/ultimate-guide-flexibility-part-27.html"
"blog\ultimate-guide-flexibility-part-29.html","CORRECT","1","https://gymtranning.com/blog/ultimate-guide-flexibility-part-29.html","3","https://gymtranning.com/blog/ultimate-guide-flexibility-part-29.html"
"blog\ultimate-guide-flexibility-part-38.html","CORRECT","1","https://gymtranning.com/blog/ultimate-guide-flexibility-part-38.html","3","https://gymtranning.com/blog/ultimate-guide-flexibility-part-38.html"
"blog\ultimate-guide-flexibility-part-41.html","CORRECT","1","https://gymtranning.com/blog/ultimate-guide-flexibility-part-41.html","3","https://gymtranning.com/blog/ultimate-guide-flexibility-part-41.html"
"blog\ultimate-guide-flexibility-part-50.html","CORRECT","1","https://gymtranning.com/blog/ultimate-guide-flexibility-part-50.html","3","https://gymtranning.com/blog/ultimate-guide-flexibility-part-50.html"
"blog\ultimate-guide-flexibility-part-73.html","CORRECT","1","https://gymtranning.com/blog/ultimate-guide-flexibility-part-73.html","3","https://gymtranning.com/blog/ultimate-guide-flexibility-part-73.html"
"blog\ultimate-guide-flexibility-part-80.html","CORRECT","1","https://gymtranning.com/blog/ultimate-guide-flexibility-part-80.html","3","https://gymtranning.com/blog/ultimate-guide-flexibility-part-80.html"
"blog\ultimate-guide-flexibility-part-87.html","CORRECT","1","https://gymtranning.com/blog/ultimate-guide-flexibility-part-87.html","3","https://gymtranning.com/blog/ultimate-guide-flexibility-part-87.html"
"blog\ultimate-guide-flexibility-part-9.html","WRONG","1","https://gymtranning.com/blog/ultimate-guide-flexibility-part-87.html","3","https://gymtranning.com/blog/ultimate-guide-flexibility-part-9.html"
"blog\ultimate-guide-home-workouts-part-12.html","CORRECT","1","https://gymtranning.com/blog/ultimate-guide-home-workouts-part-12.html","154","https://gymtranning.com/blog/ultimate-guide-home-workouts-part-12.html"
"blog\ultimate-guide-home-workouts-part-34.html","CORRECT","1","https://gymtranning.com/blog/ultimate-guide-home-workouts-part-34.html","154","https://gymtranning.com/blog/ultimate-guide-home-workouts-part-34.html"
"blog\ultimate-guide-home-workouts-part-45.html","CORRECT","1","https://gymtranning.com/blog/ultimate-guide-home-workouts-part-45.html","3","https://gymtranning.com/blog/ultimate-guide-home-workouts-part-45.html"
"blog\ultimate-guide-home-workouts-part-53.html","CORRECT","1","https://gymtranning.com/blog/ultimate-guide-home-workouts-part-53.html","3","https://gymtranning.com/blog/ultimate-guide-home-workouts-part-53.html"
"blog\ultimate-guide-home-workouts-part-6.html","CORRECT","1","https://gymtranning.com/blog/ultimate-guide-home-workouts-part-6.html","3","https://gymtranning.com/blog/ultimate-guide-home-workouts-part-6.html"
"blog\ultimate-guide-home-workouts-part-63.html","WRONG","1","https://gymtranning.com/home-gym-budget.html","154","https://gymtranning.com/blog/ultimate-guide-home-workouts-part-63.html"
"blog\ultimate-guide-home-workouts-part-66.html","CORRECT","1","https://gymtranning.com/blog/ultimate-guide-home-workouts-part-66.html","154","https://gymtranning.com/blog/ultimate-guide-home-workouts-part-66.html"
"blog\ultimate-guide-home-workouts-part-93.html","CORRECT","1","https://gymtranning.com/blog/ultimate-guide-home-workouts-part-93.html","154","https://gymtranning.com/blog/ultimate-guide-home-workouts-part-93.html"
"blog\ultimate-guide-mindset-part-18.html","CORRECT","1","https://gymtranning.com/blog/ultimate-guide-mindset-part-18.html","3","https://gymtranning.com/blog/ultimate-guide-mindset-part-18.html"
"blog\ultimate-guide-mindset-part-30.html","CORRECT","1","https://gymtranning.com/blog/ultimate-guide-mindset-part-30.html","3","https://gymtranning.com/blog/ultimate-guide-mindset-part-30.html"
"blog\ultimate-guide-mindset-part-4.html","CORRECT","1","https://gymtranning.com/blog/ultimate-guide-mindset-part-4.html","154","https://gymtranning.com/blog/ultimate-guide-mindset-part-4.html"
"blog\ultimate-guide-mindset-part-44.html","CORRECT","1","https://gymtranning.com/blog/ultimate-guide-mindset-part-44.html","3","https://gymtranning.com/blog/ultimate-guide-mindset-part-44.html"
"blog\ultimate-guide-mindset-part-46.html","CORRECT","1","https://gymtranning.com/blog/ultimate-guide-mindset-part-46.html","3","https://gymtranning.com/blog/ultimate-guide-mindset-part-46.html"
"blog\ultimate-guide-mindset-part-52.html","CORRECT","1","https://gymtranning.com/blog/ultimate-guide-mindset-part-52.html","3","https://gymtranning.com/blog/ultimate-guide-mindset-part-52.html"
"blog\ultimate-guide-mindset-part-54.html","CORRECT","1","https://gymtranning.com/blog/ultimate-guide-mindset-part-54.html","3","https://gymtranning.com/blog/ultimate-guide-mindset-part-54.html"
"blog\ultimate-guide-mindset-part-55.html","CORRECT","1","https://gymtranning.com/blog/ultimate-guide-mindset-part-55.html","3","https://gymtranning.com/blog/ultimate-guide-mindset-part-55.html"
"blog\ultimate-guide-mindset-part-7.html","CORRECT","1","https://gymtranning.com/blog/ultimate-guide-mindset-part-7.html","3","https://gymtranning.com/blog/ultimate-guide-mindset-part-7.html"
"blog\ultimate-guide-mindset-part-72.html","CORRECT","1","https://gymtranning.com/blog/ultimate-guide-mindset-part-72.html","3","https://gymtranning.com/blog/ultimate-guide-mindset-part-72.html"
"blog\ultimate-guide-mindset-part-88.html","CORRECT","1","https://gymtranning.com/blog/ultimate-guide-mindset-part-88.html","154","https://gymtranning.com/blog/ultimate-guide-mindset-part-88.html"
"blog\ultimate-guide-mindset-part-94.html","CORRECT","1","https://gymtranning.com/blog/ultimate-guide-mindset-part-94.html","3","https://gymtranning.com/blog/ultimate-guide-mindset-part-94.html"
"blog\ultimate-guide-mindset-part-95.html","CORRECT","1","https://gymtranning.com/blog/ultimate-guide-mindset-part-95.html","154","https://gymtranning.com/blog/ultimate-guide-mindset-part-95.html"
"blog\ultimate-guide-mindset-part-99.html","CORRECT","1","https://gymtranning.com/blog/ultimate-guide-mindset-part-99.html","3","https://gymtranning.com/blog/ultimate-guide-mindset-part-99.html"
"blog\ultimate-guide-muscle-gain-part-19.html","CORRECT","1","https://gymtranning.com/blog/ultimate-guide-muscle-gain-part-19.html","3","https://gymtranning.com/blog/ultimate-guide-muscle-gain-part-19.html"
"blog\ultimate-guide-muscle-gain-part-23.html","CORRECT","1","https://gymtranning.com/blog/ultimate-guide-muscle-gain-part-23.html","3","https://gymtranning.com/blog/ultimate-guide-muscle-gain-part-23.html"
"blog\ultimate-guide-muscle-gain-part-39.html","CORRECT","1","https://gymtranning.com/blog/ultimate-guide-muscle-gain-part-39.html","3","https://gymtranning.com/blog/ultimate-guide-muscle-gain-part-39.html"
"blog\ultimate-guide-muscle-gain-part-51.html","CORRECT","1","https://gymtranning.com/blog/ultimate-guide-muscle-gain-part-51.html","3","https://gymtranning.com/blog/ultimate-guide-muscle-gain-part-51.html"
"blog\ultimate-guide-muscle-gain-part-60.html","CORRECT","1","https://gymtranning.com/blog/ultimate-guide-muscle-gain-part-60.html","154","https://gymtranning.com/blog/ultimate-guide-muscle-gain-part-60.html"
"blog\ultimate-guide-muscle-gain-part-62.html","CORRECT","1","https://gymtranning.com/blog/ultimate-guide-muscle-gain-part-62.html","3","https://gymtranning.com/blog/ultimate-guide-muscle-gain-part-62.html"
"blog\ultimate-guide-muscle-gain-part-64.html","CORRECT","1","https://gymtranning.com/blog/ultimate-guide-muscle-gain-part-64.html","3","https://gymtranning.com/blog/ultimate-guide-muscle-gain-part-64.html"
"blog\ultimate-guide-muscle-gain-part-65.html","CORRECT","1","https://gymtranning.com/blog/ultimate-guide-muscle-gain-part-65.html","3","https://gymtranning.com/blog/ultimate-guide-muscle-gain-part-65.html"
"blog\ultimate-guide-muscle-gain-part-81.html","CORRECT","1","https://gymtranning.com/blog/ultimate-guide-muscle-gain-part-81.html","3","https://gymtranning.com/blog/ultimate-guide-muscle-gain-part-81.html"
"blog\ultimate-guide-muscle-gain-part-83.html","CORRECT","1","https://gymtranning.com/blog/ultimate-guide-muscle-gain-part-83.html","3","https://gymtranning.com/blog/ultimate-guide-muscle-gain-part-83.html"
"blog\ultimate-guide-muscle-gain-part-96.html","CORRECT","1","https://gymtranning.com/blog/ultimate-guide-muscle-gain-part-96.html","3","https://gymtranning.com/blog/ultimate-guide-muscle-gain-part-96.html"
"blog\ultimate-guide-nutrition-part-21.html","CORRECT","1","https://gymtranning.com/blog/ultimate-guide-nutrition-part-21.html","3","https://gymtranning.com/blog/ultimate-guide-nutrition-part-21.html"
"blog\ultimate-guide-nutrition-part-26.html","CORRECT","1","https://gymtranning.com/blog/ultimate-guide-nutrition-part-26.html","3","https://gymtranning.com/blog/ultimate-guide-nutrition-part-26.html"
"blog\ultimate-guide-nutrition-part-31.html","CORRECT","1","https://gymtranning.com/blog/ultimate-guide-nutrition-part-31.html","3","https://gymtranning.com/blog/ultimate-guide-nutrition-part-31.html"
"blog\ultimate-guide-nutrition-part-33.html","CORRECT","1","https://gymtranning.com/blog/ultimate-guide-nutrition-part-33.html","3","https://gymtranning.com/blog/ultimate-guide-nutrition-part-33.html"
"blog\ultimate-guide-nutrition-part-36.html","CORRECT","1","https://gymtranning.com/blog/ultimate-guide-nutrition-part-36.html","3","https://gymtranning.com/blog/ultimate-guide-nutrition-part-36.html"
"blog\ultimate-guide-nutrition-part-43.html","CORRECT","1","https://gymtranning.com/blog/ultimate-guide-nutrition-part-43.html","3","https://gymtranning.com/blog/ultimate-guide-nutrition-part-43.html"
"blog\ultimate-guide-nutrition-part-5.html","CORRECT","1","https://gymtranning.com/blog/ultimate-guide-nutrition-part-5.html","3","https://gymtranning.com/blog/ultimate-guide-nutrition-part-5.html"
"blog\ultimate-guide-nutrition-part-68.html","CORRECT","1","https://gymtranning.com/blog/ultimate-guide-nutrition-part-68.html","3","https://gymtranning.com/blog/ultimate-guide-nutrition-part-68.html"
"blog\ultimate-guide-nutrition-part-77.html","CORRECT","1","https://gymtranning.com/blog/ultimate-guide-nutrition-part-77.html","154","https://gymtranning.com/blog/ultimate-guide-nutrition-part-77.html"
"blog\ultimate-guide-nutrition-part-82.html","CORRECT","1","https://gymtranning.com/blog/ultimate-guide-nutrition-part-82.html","3","https://gymtranning.com/blog/ultimate-guide-nutrition-part-82.html"
"blog\ultimate-guide-recovery-part-15.html","CORRECT","1","https://gymtranning.com/blog/ultimate-guide-recovery-part-15.html","154","https://gymtranning.com/blog/ultimate-guide-recovery-part-15.html"
"blog\ultimate-guide-recovery-part-16.html","CORRECT","1","https://gymtranning.com/blog/ultimate-guide-recovery-part-16.html","3","https://gymtranning.com/blog/ultimate-guide-recovery-part-16.html"
"blog\ultimate-guide-recovery-part-17.html","CORRECT","1","https://gymtranning.com/blog/ultimate-guide-recovery-part-17.html","3","https://gymtranning.com/blog/ultimate-guide-recovery-part-17.html"
"blog\ultimate-guide-recovery-part-22.html","CORRECT","1","https://gymtranning.com/blog/ultimate-guide-recovery-part-22.html","3","https://gymtranning.com/blog/ultimate-guide-recovery-part-22.html"
"blog\ultimate-guide-recovery-part-3.html","CORRECT","1","https://gymtranning.com/blog/ultimate-guide-recovery-part-3.html","3","https://gymtranning.com/blog/ultimate-guide-recovery-part-3.html"
"blog\ultimate-guide-recovery-part-58.html","CORRECT","1","https://gymtranning.com/blog/ultimate-guide-recovery-part-58.html","154","https://gymtranning.com/blog/ultimate-guide-recovery-part-58.html"
"blog\ultimate-guide-recovery-part-59.html","CORRECT","1","https://gymtranning.com/blog/ultimate-guide-recovery-part-59.html","3","https://gymtranning.com/blog/ultimate-guide-recovery-part-59.html"
"blog\ultimate-guide-recovery-part-79.html","CORRECT","1","https://gymtranning.com/blog/ultimate-guide-recovery-part-79.html","154","https://gymtranning.com/blog/ultimate-guide-recovery-part-79.html"
"blog\ultimate-guide-recovery-part-86.html","CORRECT","1","https://gymtranning.com/blog/ultimate-guide-recovery-part-86.html","3","https://gymtranning.com/blog/ultimate-guide-recovery-part-86.html"
"blog\ultimate-guide-recovery-part-89.html","CORRECT","1","https://gymtranning.com/blog/ultimate-guide-recovery-part-89.html","3","https://gymtranning.com/blog/ultimate-guide-recovery-part-89.html"
"blog\ultimate-guide-recovery-part-90.html","CORRECT","1","https://gymtranning.com/blog/ultimate-guide-recovery-part-90.html","3","https://gymtranning.com/blog/ultimate-guide-recovery-part-90.html"
"blog\ultimate-guide-strength-training-part-100.html","CORRECT","1","https://gymtranning.com/blog/ultimate-guide-strength-training-part-100.html","154","https://gymtranning.com/blog/ultimate-guide-strength-training-part-100.html"
"blog\ultimate-guide-strength-training-part-14.html","CORRECT","1","https://gymtranning.com/blog/ultimate-guide-strength-training-part-14.html","3","https://gymtranning.com/blog/ultimate-guide-strength-training-part-14.html"
"blog\ultimate-guide-strength-training-part-2.html","CORRECT","1","https://gymtranning.com/blog/ultimate-guide-strength-training-part-2.html","3","https://gymtranning.com/blog/ultimate-guide-strength-training-part-2.html"
"blog\ultimate-guide-strength-training-part-25.html","CORRECT","1","https://gymtranning.com/blog/ultimate-guide-strength-training-part-25.html","3","https://gymtranning.com/blog/ultimate-guide-strength-training-part-25.html"
"blog\ultimate-guide-strength-training-part-32.html","CORRECT","1","https://gymtranning.com/blog/ultimate-guide-strength-training-part-32.html","3","https://gymtranning.com/blog/ultimate-guide-strength-training-part-32.html"
"blog\ultimate-guide-strength-training-part-35.html","CORRECT","1","https://gymtranning.com/blog/ultimate-guide-strength-training-part-35.html","3","https://gymtranning.com/blog/ultimate-guide-strength-training-part-35.html"
"blog\ultimate-guide-strength-training-part-48.html","CORRECT","1","https://gymtranning.com/blog/ultimate-guide-strength-training-part-48.html","3","https://gymtranning.com/blog/ultimate-guide-strength-training-part-48.html"
"blog\ultimate-guide-strength-training-part-70.html","CORRECT","1","https://gymtranning.com/blog/ultimate-guide-strength-training-part-70.html","3","https://gymtranning.com/blog/ultimate-guide-strength-training-part-70.html"
"blog\ultimate-guide-strength-training-part-78.html","CORRECT","1","https://gymtranning.com/blog/ultimate-guide-strength-training-part-78.html","3","https://gymtranning.com/blog/ultimate-guide-strength-training-part-78.html"
"blog\ultimate-guide-strength-training-part-84.html","CORRECT","1","https://gymtranning.com/blog/ultimate-guide-strength-training-part-84.html","3","https://gymtranning.com/blog/ultimate-guide-strength-training-part-84.html"
"blog\ultimate-guide-strength-training-part-91.html","CORRECT","1","https://gymtranning.com/blog/ultimate-guide-strength-training-part-91.html","3","https://gymtranning.com/blog/ultimate-guide-strength-training-part-91.html"
"blog\ultimate-guide-supplements-part-1.html","CORRECT","1","https://gymtranning.com/blog/ultimate-guide-supplements-part-1.html","3","https://gymtranning.com/blog/ultimate-guide-supplements-part-1.html"
"blog\ultimate-guide-supplements-part-61.html","CORRECT","1","https://gymtranning.com/blog/ultimate-guide-supplements-part-61.html","3","https://gymtranning.com/blog/ultimate-guide-supplements-part-61.html"
"blog\ultimate-guide-supplements-part-8.html","CORRECT","1","https://gymtranning.com/blog/ultimate-guide-supplements-part-8.html","3","https://gymtranning.com/blog/ultimate-guide-supplements-part-8.html"
"blog\ultimate-guide-supplements-part-85.html","CORRECT","1","https://gymtranning.com/blog/ultimate-guide-supplements-part-85.html","106","https://gymtranning.com/blog/ultimate-guide-supplements-part-85.html"
"blog\ultimate-guide-supplements-part-92.html","CORRECT","1","https://gymtranning.com/blog/ultimate-guide-supplements-part-92.html","106","https://gymtranning.com/blog/ultimate-guide-supplements-part-92.html"
"blog\understanding-doms.html","CORRECT","1","https://gymtranning.com/blog/understanding-doms.html","104","https://gymtranning.com/blog/understanding-doms.html"
"blog\vegetarian-athlete-protein.html","CORRECT","1","https://gymtranning.com/blog/vegetarian-athlete-protein.html","104","https://gymtranning.com/blog/vegetarian-athlete-protein.html"
"blog\yoga-for-weightlifters.html","CORRECT","1","https://gymtranning.com/blog/yoga-for-weightlifters.html","104","https://gymtranning.com/blog/yoga-for-weightlifters.html"
"caloriecalculator.html","CORRECT","1","https://gymtranning.com/caloriecalculator.html","25","https://gymtranning.com/caloriecalculator.html"
"contact.html","CORRECT","1","https://gymtranning.com/contact.html","4","https://gymtranning.com/contact.html"
"cookie_policy.html","CORRECT","1","https://gymtranning.com/cookie_policy.html","2","https://gymtranning.com/cookie_policy.html"
"dietplanner.html","CORRECT","1","https://gymtranning.com/dietplanner.html","9","https://gymtranning.com/dietplanner.html"
"editorial-policy.html","CORRECT","1","https://gymtranning.com/editorial-policy.html","2","https://gymtranning.com/editorial-policy.html"
"faq.html","CORRECT","1","https://gymtranning.com/faq.html","2","https://gymtranning.com/faq.html"
"footer.html","MISSING","0","","","https://gymtranning.com/footer.html"
"gym-empire-arcade.html","CORRECT","1","https://gymtranning.com/gym-empire-arcade.html","8","https://gymtranning.com/gym-empire-arcade.html"
"index.html","CORRECT","1","https://gymtranning.com/","3","https://gymtranning.com/index.html"
"medical_disclaimer.html","CORRECT","1","https://gymtranning.com/medical_disclaimer.html","2","https://gymtranning.com/medical_disclaimer.html"
"navbar.html","MISSING","0","","","https://gymtranning.com/navbar.html"
"nutrition.html","CORRECT","1","https://gymtranning.com/nutrition.html","10","https://gymtranning.com/nutrition.html"
"privacy.html","CORRECT","1","https://gymtranning.com/privacy.html","2","https://gymtranning.com/privacy.html"
"terms_of_service.html","CORRECT","1","https://gymtranning.com/terms_of_service.html","2","https://gymtranning.com/terms_of_service.html"
